日期,股票代码,名称,涨跌幅
2019-05-17,'399006,创业板指,-3.5811
2019-05-16,'399006,创业板指,0.3257
2019-05-15,'399006,创业板指,2.2807
2019-05-14,'399006,创业板指,-0.5629
2019-05-13,'399006,创业板指,-2.0084
2019-05-10,'399006,创业板指,4.3822
2019-05-09,'399006,创业板指,-0.8366
2019-05-08,'399006,创业板指,-1.4819
2019-05-07,'399006,创业板指,0.6206
2019-05-06,'399006,创业板指,-7.938
2019-04-30,'399006,创业板指,0.5054
2019-04-29,'399006,创业板指,-2.546
2019-04-26,'399006,创业板指,-0.7278
2019-04-25,'399006,创业板指,-2.8431
2019-04-24,'399006,创业板指,2.0814
2019-04-23,'399006,创业板指,-0.8078
2019-04-22,'399006,创业板指,-1.0656
2019-04-19,'399006,创业板指,0.6599
2019-04-18,'399006,创业板指,-0.7506
2019-04-17,'399006,创业板指,1.1728
2019-04-16,'399006,创业板指,1.8376
2019-04-15,'399006,创业板指,-1.7003
2019-04-12,'399006,创业板指,0.2735
2019-04-11,'399006,创业板指,-2.0579
2019-04-10,'399006,创业板指,-0.8347
2019-04-09,'399006,创业板指,0.0871
2019-04-08,'399006,创业板指,-2.116
2019-04-04,'399006,创业板指,0.5138
2019-04-03,'399006,创业板指,0.7993
2019-04-02,'399006,创业板指,-0.3825
2019-04-01,'399006,创业板指,3.9765
2019-03-29,'399006,创业板指,4.1018
2019-03-28,'399006,创业板指,-0.6688
2019-03-27,'399006,创业板指,0.4651
2019-03-26,'399006,创业板指,-2.316
2019-03-25,'399006,创业板指,-1.4773
2019-03-22,'399006,创业板指,-0.5863
2019-03-21,'399006,创业板指,0.9452
2019-03-20,'399006,创业板指,-1.2274
2019-03-19,'399006,创业板指,0.1065
2019-03-18,'399006,创业板指,2.6725
2019-03-15,'399006,创业板指,0.7537
2019-03-14,'399006,创业板指,-2.5784
2019-03-13,'399006,创业板指,-4.4869
2019-03-12,'399006,创业板指,2.641
2019-03-11,'399006,创业板指,4.4314
2019-03-08,'399006,创业板指,-2.2412
2019-03-07,'399006,创业板指,-0.4752
2019-03-06,'399006,创业板指,1.4274
2019-03-05,'399006,创业板指,3.5103
2019-03-04,'399006,创业板指,3.3062
2019-03-01,'399006,创业板指,2.0963
2019-02-28,'399006,创业板指,1.0037
2019-02-27,'399006,创业板指,-1.7174
2019-02-26,'399006,创业板指,0.691
2019-02-25,'399006,创业板指,5.4983
2019-02-22,'399006,创业板指,3.0983
2019-02-21,'399006,创业板指,0.2949
2019-02-20,'399006,创业板指,0.1667
2019-02-19,'399006,创业板指,-0.535
2019-02-18,'399006,创业板指,4.1068
2019-02-15,'399006,创业板指,-0.3012
2019-02-14,'399006,创业板指,0.3147
2019-02-13,'399006,创业板指,1.9062
2019-02-12,'399006,创业板指,1.2288
2019-02-11,'399006,创业板指,3.5259
2019-02-01,'399006,创业板指,3.525
2019-01-31,'399006,创业板指,-0.2301
2019-01-30,'399006,创业板指,-1.0271
2019-01-29,'399006,创业板指,-1.2821
2019-01-28,'399006,创业板指,-0.4544
2019-01-25,'399006,创业板指,0.0264
2019-01-24,'399006,创业板指,1.1217
2019-01-23,'399006,创业板指,-0.0888
2019-01-22,'399006,创业板指,-1.7689
2019-01-21,'399006,创业板指,0.4162
2019-01-18,'399006,创业板指,1.4456
2019-01-17,'399006,创业板指,-1.2539
2019-01-16,'399006,创业板指,0.0814
2019-01-15,'399006,创业板指,1.6272
2019-01-14,'399006,创业板指,-1.2335
2019-01-11,'399006,创业板指,0.2043
2019-01-10,'399006,创业板指,-0.2794
2019-01-09,'399006,创业板指,-0.0786
2019-01-08,'399006,创业板指,-0.3587
2019-01-07,'399006,创业板指,1.8393
2019-01-04,'399006,创业板指,2.5245
2019-01-03,'399006,创业板指,-1.1613
2019-01-02,'399006,创业板指,-1.74
2018-12-28,'399006,创业板指,0.1962
2018-12-27,'399006,创业板指,-1.2653
2018-12-26,'399006,创业板指,-0.7364
2018-12-25,'399006,创业板指,-0.8475
2018-12-24,'399006,创业板指,1.1043
2018-12-21,'399006,创业板指,-0.6144
2018-12-20,'399006,创业板指,0.7364
2018-12-19,'399006,创业板指,-1.896
2018-12-18,'399006,创业板指,-0.4495
2018-12-17,'399006,创业板指,-0.861
2018-12-14,'399006,创业板指,-2.8214
2018-12-13,'399006,创业板指,0.73
2018-12-12,'399006,创业板指,0.0487
2018-12-11,'399006,创业板指,0.8464
2018-12-10,'399006,创业板指,-1.0567
2018-12-07,'399006,创业板指,-0.3524
2018-12-06,'399006,创业板指,-2.6058
2018-12-05,'399006,创业板指,0.2186
2018-12-04,'399006,创业板指,0.4341
2018-12-03,'399006,创业板指,3.2651
2018-11-30,'399006,创业板指,1.2701
